Mouse ID,Strain,Sex,Genotype,DOB,VO2_Avg,VCO2-Avg,Heat_avg,RER-avg,XYZ_avg,Wat_avg,Food_avg,VO2_Avg_6,VCO2-Avg_6,Heat_avg_6,RER-avg_6,XYZ_avg_6,Wat_avg_6,Food_avg_6
9982,129.B6-Scon-4-1,F,A,41918,4808.710753,4184.554682,23.58382154,0.863529041,2255.464556,7.459896515,6.909808624,4262.556306,3765.315315,20.96531532,0.88024375,3927.997917,6.400193798,7.013565891
238,129.B6-Scon-4-1,F,A,41971,4197.907764,3636.420742,20.56266916,0.861991314,2749.579861,5.4042975,6.413941451,4240.602543,3926.893311,21.05134052,0.924708333,3532.069444,6.103206865,7.226738934
242,129.B6-Scon-4-1,F,A,41974,4627.62706,4082.814789,22.75271978,0.879878542,3027.272062,7.701265114,7.686444653,3756.21345,3389.98538,18.55336257,0.901152778,2534.444444,5.435363248,6.750801282
243,129.B6-Scon-4-1,F,A,41974,4435.702918,3913.284704,21.80929156,0.880857452,3135.927404,6.408434613,7.090342621,3769.248188,3506.567029,18.72433575,0.927944444,2905.888889,5.173775671,6.951026856
328,129.B6-Scon-4-1,F,A,41995,4339.490289,3753.979888,21.25465757,0.860811219,2693.908733,6.095593764,6.607890774,4560.267857,4019.469246,26.07322669,0.875313542,6128.227083,4.112318841,6.012479871
329,129.B6-Scon-4-1,F,A,41995,4339.490289,3753.979888,21.25465757,0.860811219,2693.908733,6.095593764,6.607890774,3889.198514,3489.71603,22.32026274,0.895448958,4388.016667,4.991760829,6.10287194
330,129.B6-Scon-4-1,F,A,41995,4339.490289,3753.979888,21.25465757,0.860811219,2693.908733,6.095593764,6.607890774,4054.982818,3617.536512,23.23211985,0.892298958,3637.08125,6.035825545,7.502920561
332,129.B6-Scon-4-1,F,A,41995,3861.41214,3232.642945,18.79320129,0.830663448,2720.814627,4.416968325,5.331171068,3810.754799,3419.01178,21.870637,0.892590625,3390.672917,5.271406728,6.021597859
337,129.B6-Scon-4-1,F,A,41995,4142.911227,3616.9697,20.32986477,0.870847867,1765.275171,5.099479434,6.311651287,3977.318548,3527.49776,22.76943324,0.882998958,3892.058333,4.806338028,6.195226917
338,129.B6-Scon-4-1,F,A,41995,4390.411297,3755.709992,21.46210632,0.852118378,2365.731074,5.884277025,6.452544105,4441.706731,3976.896368,25.4798344,0.892894792,1997.71875,4.715722496,6.390599343
339,129.B6-Scon-4-1,F,A,41995,4251.239156,3609.441552,20.74358617,0.84660371,3531.205106,6.390131586,6.667222382,4306.882635,3958.442408,24.83845986,0.916822917,4842.054167,5.921401515,7.46780303
9983,129.B6-Scon-4-1,M,A,41918,4280.686166,3793.289878,21.06412744,0.881412811,2953.477634,6.851682797,7.488171387,3596.317829,3242.732558,17.75959302,0.898951042,2693.50625,5.509893455,7.289764079
9984,129.B6-Scon-4-1,M,A,41918,4825.156652,4297.037126,23.77117148,0.885983762,2969.882031,7.724143308,8.345113608,3741.708538,3415.585237,18.52279939,0.90757057,2659.459364,6.662908804,7.396649665
9985,129.B6-Scon-4-1,M,A,41918,4886.675853,4365.19387,24.08488533,0.888147808,4022.656496,8.056422163,9.201281375,4132.558554,3595.334002,20.26649156,0.866641188,2635.253104,3.501375348,6.209150968
240,129.B6-Scon-4-1,M,A,41971,4251.86229,3782.747569,20.9359702,0.887054551,2619.382692,6.11735212,6.823538123,3611.111111,3282.319642,17.86565298,0.900736111,1973.597222,5.585360038,5.853600381
334,129.B6-Scon-4-1,M,A,41995,3807.004027,3317.637198,18.66822462,0.866932559,2352.757317,5.874435249,6.463569227,3725.540596,3342.537855,18.95120052,0.893733949,2510.206105,4.995824804,6.485629856
336,129.B6-Scon-4-1,M,A,41995,3632.732006,3203.833629,17.86038556,0.878945375,2802.709632,6.486061144,6.607354603,3546.006944,3176.717836,20.34146564,0.894770833,2589.214583,3.719586375,5.678984185
658,129P3/J,F,B,42083,5631.050399,4661.863772,31.81069112,0.823190625,5057.43125,4.150146843,6.444566814,4079.905063,3471.343179,23.16851266,0.847729167,3951.1,5.115266393,7.15590847
659,129P3/J,F,B,42083,5747.647849,4668.615591,32.34791667,0.808333333,4097.7375,4.748563218,5.995869253,4190.538194,3509.500386,23.72950424,0.832241667,2900.029167,4.948814655,6.791487069
580,129P3/J,M,B,42058,4846.12069,4289.152299,23.83469828,0.881630208,2662.666667,6.935817805,8.45626294,4857.920897,3987.309645,27.39266074,0.81825,3024.085417,4.59280303,7.010416667
581,129P3/J,M,B,42058,4592.473118,4078.696237,22.61008065,0.8861125,2731.960417,8.71399177,9.126800412,4227.700243,3433.758091,23.79444782,0.810594792,2723.710417,4.988839286,6.364397321
582,129P3/J,M,B,42058,5080.306869,4439.963401,24.94510135,0.869945833,2788.225,6.320898778,7.231675393,4410.797377,3625.264382,24.88747885,0.81931875,4084.760417,5.434190031,6.895443925
583,129P3/J,M,B,42058,5069.349315,4384.631849,24.82298801,0.860945833,2394.577083,6.306399632,7.349217311,4204.439252,3483.109424,23.75700935,0.825438542,3642.845833,7.010281385,6.442099567
660,129P3/J,M,B,42083,5490.601054,4606.7409,31.08698515,0.837711458,4128.870833,6.676136364,6.945592287,4499.351852,3820.694444,25.53305556,0.847276042,2871.416667,6.918507363,7.543507363
927,129P3/J,M,B,42170,4434.118674,3674.465532,25.05137435,0.825988542,2737.2625,4.95015949,7.271730463,4440.041924,3670.027197,25.07293046,0.824175625,3269.36375,5.788924219,6.851172969
