Mouse,Set,type,Sex,Sucrose intake,Water intake,Body weight,Age,Strain,deltaBW,scon3@rs3023231,scon4@d1mit316,scon6@d14mit126
2208,F2,F2,F,30.8,8.6,26.7,24.9,NA,-1.8,A,H,A
2209,F2,F2,F,30.3,5.3,29.5,24.9,NA,0.3,H,H,H
2210,F2,F2,F,29.1,5.8,24,24.9,NA,0.1,B,B,A
2211,F2,F2,M,11.6,6.1,37.1,24.9,NA,0.8,B,B,B
2212,F2,F2,M,27.6,6.9,28,24.9,NA,0.9,B,B,NA
2213,F2,F2,M,17,6.2,29.9,24.9,NA,-0.3,B,B,H
2214,F2,F2,M,29.7,7.1,33,24.9,NA,4.1,B,H,A
2215,F2,F2,M,26.4,5.6,25.8,24.9,NA,-0.3,H,H,H
2216,F2,F2,M,23.3,3.7,29,24.9,NA,0.5,H,H,B
2217,F2,F2,M,28.7,5.4,29.3,24.9,NA,0.4,H,B,A
2218,F2,F2,F,31.6,6.8,25.6,24.9,NA,0.6,A,B,H
2219,F2,F2,F,24,6.3,24.7,24.9,NA,0.4,H,H,H
2220,F2,F2,F,5.7,6.7,23.3,24.9,NA,0,B,H,B
2221,F2,F2,F,25.4,4.4,23.6,24.9,NA,0.2,H,B,B
2222,F2,F2,M,28.5,6.1,27.8,24.9,NA,1.7,H,B,B
2223,F2,F2,M,20.9,6.2,28.3,24.9,NA,0.3,B,B,H
2224,F2,F2,M,30.9,5.8,28.1,24.9,NA,0.5,A,A,H
2225,F2,F2,M,29,5.3,31.3,24.9,NA,0,H,H,H
2226,F2,F2,F,28.9,7.2,23.2,24.9,NA,0.8,H,A,H
2227,F2,F2,F,15.4,5.6,24.8,24.9,NA,1,B,H,H
2228,F2,F2,F,30.7,9.3,26.7,24.9,NA,0.1,H,H,H
2229,F2,F2,F,27.3,5.7,27.1,24.9,NA,-0.8,H,A,B
2230,F2,F2,M,24.5,7,29.3,24.9,NA,0.2,H,B,H
2231,F2,F2,M,14.3,6.9,25.8,24.9,NA,0.7,B,A,H
2232,F2,F2,M,27.3,6.5,31.5,24.9,NA,0.4,H,A,H
2233,F2,F2,M,30.9,8.5,26.9,24.9,NA,-0.3,A,B,H
2234,F2,F2,M,28.1,6.5,27.3,24.9,NA,0.4,H,H,H
2235,F2,F2,M,30.2,7.7,30.8,24.9,NA,0.5,H,H,B
2236,F2,F2,F,29.5,7.9,25.4,24.9,NA,1.3,A,B,A
2237,F2,F2,F,30.8,8.3,24.7,24.9,NA,-0.8,A,H,H
2238,F2,F2,M,17,5.7,29.5,24.9,NA,-0.1,B,H,B
2239,F2,F2,M,26.3,7.2,35.8,24.9,NA,2.3,H,H,H
